rung,name,probe,class_idx,class_name,draw,value
3,mean_scale,mlp,3,WAK,0,0.22389583333333335
3,mean_scale,mlp,2,UPS,4,0.3435474308300395
3,mean_scale,mlp,1,STDUP,4,
3,mean_scale,mlp,3,WAK,1,0.222125
3,mean_scale,mlp,3,WAK,2,0.240375
4,full_whiten_recolor,linear,0,DNS,0,0.026130952380952383
4,full_whiten_recolor,linear,0,DNS,1,0.024523809523809524
4,full_whiten_recolor,linear,0,DNS,2,0.025297619047619048
4,full_whiten_recolor,linear,0,DNS,3,0.023714285714285712
4,full_whiten_recolor,linear,0,DNS,4,0.021083333333333336
4,full_whiten_recolor,linear,1,STDUP,0,0.01633561643835616
4,full_whiten_recolor,linear,1,STDUP,1,0.0159959274342836
4,full_whiten_recolor,linear,1,STDUP,2,0.019872269529803775
4,full_whiten_recolor,linear,1,STDUP,3,0.01647815623843021
4,full_whiten_recolor,linear,1,STDUP,4,0.016886338393187705
4,full_whiten_recolor,linear,2,UPS,0,0.02401185770750988
4,full_whiten_recolor,linear,2,UPS,1,0.025276679841897232
4,full_whiten_recolor,linear,2,UPS,2,0.019110671936758895
4,full_whiten_recolor,linear,2,UPS,3,0.02442687747035573
4,full_whiten_recolor,linear,2,UPS,4,0.022756916996047434
4,full_whiten_recolor,linear,3,WAK,0,0.020249999999999997
4,full_whiten_recolor,linear,3,WAK,1,0.03104166666666667
4,full_whiten_recolor,linear,3,WAK,2,0.023729166666666666
4,full_whiten_recolor,linear,3,WAK,3,0.020979166666666667
4,full_whiten_recolor,linear,3,WAK,4,0.02564583333333333
3,mean_scale,mlp,3,WAK,3,0.2720416666666667
4,full_whiten_recolor,forest,0,DNS,0,0.2598809523809524
4,full_whiten_recolor,forest,0,DNS,1,0.257
4,full_whiten_recolor,forest,0,DNS,2,0.2596071428571428
3,mean_scale,mlp,3,WAK,4,0.2689375
4,full_whiten_recolor,forest,0,DNS,3,0.2586904761904762
4,full_whiten_recolor,forest,0,DNS,4,0.2610595238095238
4,full_whiten_recolor,forest,1,STDUP,0,0.3966910403554239
4,full_whiten_recolor,forest,1,STDUP,1,0.4032126990003702
4,full_whiten_recolor,forest,1,STDUP,2,0.39366530914476117
4,full_whiten_recolor,forest,1,STDUP,3,0.40663828211773423
4,full_whiten_recolor,forest,2,UPS,0,0.25846837944664036
4,full_whiten_recolor,forest,2,UPS,1,0.27047430830039526
4,full_whiten_recolor,forest,1,STDUP,4,0.4061106997408367
4,full_whiten_recolor,forest,2,UPS,2,0.2667687747035573
4,full_whiten_recolor,forest,2,UPS,3,0.2749604743083004
4,full_whiten_recolor,forest,3,WAK,0,0.22579166666666667
4,full_whiten_recolor,forest,2,UPS,4,0.27950592885375497
4,full_whiten_recolor,forest,3,WAK,1,0.22804166666666664
4,full_whiten_recolor,forest,3,WAK,2,0.2406875
4,full_whiten_recolor,forest,3,WAK,3,0.2365
4,full_whiten_recolor,forest,3,WAK,4,0.2408125
4,full_whiten_recolor,mlp,0,DNS,0,0.025630952380952383
4,full_whiten_recolor,mlp,0,DNS,1,0.02407142857142857
4,full_whiten_recolor,mlp,0,DNS,2,0.02388095238095238
4,full_whiten_recolor,mlp,0,DNS,3,0.023642857142857143
4,full_whiten_recolor,mlp,0,DNS,4,0.021630952380952383
4,full_whiten_recolor,mlp,1,STDUP,0,0.062021473528322844
4,full_whiten_recolor,mlp,1,STDUP,1,0.12584598296927063
4,full_whiten_recolor,mlp,1,STDUP,2,0.07365790447982226
4,full_whiten_recolor,mlp,1,STDUP,4,0.057550907071455014
4,full_whiten_recolor,mlp,2,UPS,0,0.025681818181818184
4,full_whiten_recolor,mlp,2,UPS,1,0.019535573122529643
4,full_whiten_recolor,mlp,2,UPS,2,0.01983201581027668
4,full_whiten_recolor,mlp,2,UPS,3,0.019446640316205535
4,full_whiten_recolor,mlp,1,STDUP,3,0.0951129211403184
4,full_whiten_recolor,mlp,2,UPS,4,0.01997035573122529
4,full_whiten_recolor,mlp,3,WAK,0,0.021708333333333333
4,full_whiten_recolor,mlp,3,WAK,1,0.026937499999999996
4,full_whiten_recolor,mlp,3,WAK,2,0.02475
4,full_whiten_recolor,mlp,3,WAK,3,0.02370833333333333
4,full_whiten_recolor,mlp,3,WAK,4,0.024687499999999994
