model,subject,n_test,acc,bal_acc,f1_macro,best_params,fit_time_sec,infer_ms_per_window
SVM,31,758,0.787598944591029,0.6928731040086674,0.6465904390679722,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.362266199983424,1.0907624999526888
SVM,32,686,0.8352769679300291,0.7800324494612165,0.7636922772212494,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.01663530000951,0.8306884999910835
SVM,33,692,0.8511560693641619,0.7749021260046669,0.7665026159916977,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.4744442999945,0.8373139999457635
SVM,34,632,0.8512658227848101,0.7897609688106011,0.7450445655289846,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.84201459999895,0.8478944998933002
SVM,35,852,0.7992957746478874,0.7383168892028513,0.7178254374733248,"{'clf__C': 1, 'clf__gamma': 'scale'}",46.79472929998883,0.8223889999499079
SVM,36,734,0.8065395095367848,0.7212289577728865,0.6930658850354691,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.89367479999783,0.8333525000489317
SVM,37,680,0.8588235294117647,0.7616390776228137,0.7512484678196563,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.56100620000507,0.8565795001049992
SVM,38,671,0.842026825633383,0.7145311065397533,0.708901174100297,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.45169220000389,0.8588809998764191
SVM,39,693,0.836940836940837,0.6665530303030303,0.6543104444893816,"{'clf__C': 1, 'clf__gamma': 'scale'}",48.38109360000817,0.8161140000447631
SVM,40,648,0.8209876543209876,0.6898724742630603,0.6815639306015442,"{'clf__C': 1, 'clf__gamma': 'scale'}",47.70215590001317,0.8567674999358132
RF,1,690,0.6072463768115942,0.4392422669261154,0.4447457452454589,"{'clf__max_depth': None, 'clf__n_estimators': 500}",162.25213350000558,0.4162844999518711
RF,2,520,0.875,0.8064447072034236,0.8044318689631931,"{'clf__max_depth': None, 'clf__n_estimators': 400}",243.34307210001865,0.4361824999796226
RF,3,594,0.8468013468013468,0.7243665978756398,0.7523511880513192,"{'clf__max_depth': None, 'clf__n_estimators': 500}",353.8089491999999,0.5541605000325944
RF,4,556,0.7158273381294964,0.6730078622868949,0.641691727798987,"{'clf__max_depth': None, 'clf__n_estimators': 400}",1118.5439680999843,0.8173989999340847
RF,5,708,0.5663841807909604,0.5629171784756326,0.5420798159078386,"{'clf__max_depth': None, 'clf__n_estimators': 500}",346.19987969999784,0.9897070001170504
RF,6,583,0.7667238421955404,0.6788943501810456,0.6811268297475194,"{'clf__max_depth': None, 'clf__n_estimators': 500}",726.0348523999855,0.9365105000324548
RF,7,600,0.75,0.6971898571195219,0.6899579922159047,"{'clf__max_depth': None, 'clf__n_estimators': 500}",1099.251093400002,0.983220500056632
RF,8,574,0.8066202090592335,0.6877652386373316,0.6836580085684344,"{'clf__max_depth': None, 'clf__n_estimators': 400}",572.9629234999884,0.7334209998953156
RF,9,591,0.8003384094754653,0.7363489243352613,0.749023530817009,"{'clf__max_depth': None, 'clf__n_estimators': 500}",544.4502284000046,0.6214024999644607
RF,10,509,0.7092337917485265,0.6208133971291866,0.5751137282918168,"{'clf__max_depth': None, 'clf__n_estimators': 400}",331.1913519999944,0.6987569999182597
RF,11,518,0.8783783783783784,0.8512068565935056,0.8362823060250102,"{'clf__max_depth': None, 'clf__n_estimators': 400}",454.851190699992,0.3968844999326393
