subject,member,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK,crit_err
18,SVM,0.7981976763640787,0.6742857142857143,0.9702970297029703,0.841025641025641,0.7071823204419889,0.3023255813953488
18,RESNET_SE,0.911515204612454,0.9058823529411765,0.9345794392523364,0.892018779342723,0.9135802469135802,0.03488372093023256
18,soft,0.9164938058445701,0.9024390243902439,0.9523809523809523,0.9339622641509434,0.8771929824561403,0.11627906976744186
18,hard,0.911515204612454,0.9058823529411765,0.9345794392523364,0.892018779342723,0.9135802469135802,0.03488372093023256
19,SVM,0.7679494937217267,0.8073394495412844,0.8035714285714286,0.7983870967741935,0.6625,0.09345794392523364
19,RESNET_SE,0.8649340525874682,0.8613861386138614,0.9166666666666666,0.8699186991869918,0.8117647058823529,0.08411214953271028
19,soft,0.8776208672306947,0.8955223880597015,0.896551724137931,0.888,0.8304093567251462,0.07476635514018691
19,hard,0.8649340525874682,0.8613861386138614,0.9166666666666666,0.8699186991869918,0.8117647058823529,0.08411214953271028
20,SVM,0.8280807082684554,0.75,0.9545454545454546,0.8309178743961353,0.7768595041322314,0.03529411764705882
20,RESNET_SE,0.8701981580049576,0.8481675392670157,0.967741935483871,0.9441624365482234,0.7207207207207207,0.011764705882352941
20,soft,0.9069543083179447,0.8888888888888888,0.989010989010989,0.94,0.8099173553719008,0.011764705882352941
20,hard,0.8701981580049576,0.8481675392670157,0.967741935483871,0.9441624365482234,0.7207207207207207,0.011764705882352941
21,SVM,0.7812884448130866,0.7414634146341463,0.935064935064935,0.7319587628865979,0.7166666666666667,0.020833333333333332
21,RESNET_SE,0.8843865507367534,0.8421052631578947,0.963855421686747,0.8426966292134831,0.8888888888888888,0.020833333333333332
21,soft,0.8566422957517398,0.8169014084507042,0.9620253164556962,0.8156424581005587,0.832,0.010416666666666666
21,hard,0.8843865507367534,0.8421052631578947,0.963855421686747,0.8426966292134831,0.8888888888888888,0.020833333333333332
22,SVM,0.7650409360589601,0.6859504132231405,0.8909090909090909,0.7375415282392026,0.7457627118644068,0.09523809523809523
22,RESNET_SE,0.7826111508191362,0.7638888888888888,0.9401709401709402,0.6497890295358649,0.776595744680851,0.05555555555555555
22,soft,0.816837432502842,0.7890625,0.9310344827586207,0.7472527472527473,0.8,0.047619047619047616
22,hard,0.7826111508191362,0.7638888888888888,0.9401709401709402,0.6497890295358649,0.776595744680851,0.05555555555555555
23,SVM,0.7360154448509236,0.7062937062937062,0.8539325842696629,0.7527675276752768,0.6310679611650486,0.16666666666666666
23,RESNET_SE,0.8379942975372339,0.8785714285714286,0.9347826086956522,0.7404580152671756,0.7981651376146789,0.006944444444444444
23,soft,0.8464818598519153,0.8493150684931506,0.9247311827956989,0.8,0.8118811881188119,0.020833333333333332
23,hard,0.8379942975372339,0.8785714285714286,0.9347826086956522,0.7404580152671756,0.7981651376146789,0.006944444444444444
24,SVM,0.7417451295328605,0.7419354838709677,0.6097560975609756,0.7411167512690355,0.8741721854304636,0.0641025641025641
24,RESNET_SE,0.848634133689312,0.8414634146341463,0.8672566371681416,0.8737864077669902,0.8120300751879699,0.0641025641025641
24,soft,0.8641336940444578,0.8390804597701149,0.8653846153846154,0.8743718592964824,0.8776978417266187,0.038461538461538464
24,hard,0.848634133689312,0.8414634146341463,0.8672566371681416,0.8737864077669902,0.8120300751879699,0.0641025641025641
25,SVM,0.7902529161254739,0.7134502923976608,0.8604651162790697,0.8469387755102041,0.7401574803149606,0.13953488372093023
25,RESNET_SE,0.8618275232357107,0.9017341040462428,0.8,0.8295454545454546,0.916030534351145,0.046511627906976744
25,soft,0.8890919828306398,0.896551724137931,0.8444444444444444,0.8947368421052632,0.9206349206349206,0.03488372093023256
25,hard,0.8618275232357107,0.9017341040462428,0.8,0.8295454545454546,0.916030534351145,0.046511627906976744
26,SVM,0.711586806784787,0.6232876712328768,0.8759124087591241,0.7027027027027027,0.6444444444444445,0.2158273381294964
26,RESNET_SE,0.8066984126984127,0.7619047619047619,0.9444444444444444,0.776,0.7444444444444445,0.11510791366906475
26,soft,0.7903333382567902,0.7308970099667774,0.920863309352518,0.768,0.7415730337078652,0.16546762589928057
26,hard,0.8066984126984127,0.7619047619047619,0.9444444444444444,0.776,0.7444444444444445,0.11510791366906475
27,SVM,0.8448406757667074,0.774869109947644,0.9555555555555556,0.8341232227488151,0.8148148148148148,0.010752688172043012
