arm,model,subject,mode,f1,crit_err
C,RF,3,unsmoothed,0.7844170805503818,0.12389380530973451
C,RF,3,smoothed,0.8893721904910805,0.02654867256637168
C,RF,4,unsmoothed,0.7922746997349666,0.02531645569620253
C,RF,4,smoothed,0.9341692789968652,0.0
C,RF,5,unsmoothed,0.6582109311114686,0.12987012987012986
C,RF,5,smoothed,0.7480288277108452,0.07142857142857142
C,RF,6,unsmoothed,0.7145014755448332,0.11702127659574468
C,RF,6,smoothed,0.8565235497329189,0.06382978723404255
C,RF,7,unsmoothed,0.7481762662220409,0.06666666666666667
C,RF,7,smoothed,0.8982199216197829,0.0
C,RF,8,unsmoothed,0.7513695213612382,0.05813953488372093
C,RF,8,smoothed,0.9035106806107337,0.0
