subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
17,SVM,balanced,3781,0.8099176564262033,0.7317073170731707,0.9896373056994818,0.7642276422764228,0.7540983606557377
17,RF,balanced,3781,0.7693379076319766,0.6781115879828327,0.9830065359477124,0.6967213114754098,0.7195121951219512
18,SVM,imbalanced,14322,0.8119286933746366,0.7103825136612022,0.9832402234636871,0.8315789473684211,0.7225130890052356
18,RF,imbalanced,14322,0.773377582627742,0.6974358974358974,0.9861878453038674,0.7708333333333334,0.6390532544378699
18,SVM,balanced,3795,0.7950107898838449,0.6847826086956522,0.9760900140646976,0.8085106382978723,0.7106598984771574
18,RF,balanced,3795,0.7353741526935891,0.6470588235294118,0.9703808180535967,0.711340206185567,0.6127167630057804
19,SVM,imbalanced,14279,0.7493323266051085,0.658008658008658,0.9130434782608695,0.7811158798283262,0.6451612903225806
19,RF,imbalanced,14279,0.7802832456139688,0.7203791469194313,0.9440993788819876,0.7863247863247863,0.6703296703296703
19,SVM,balanced,3784,0.746495962720312,0.6666666666666666,0.9041450777202072,0.7659574468085106,0.6492146596858639
19,RF,balanced,3784,0.7771516281404333,0.7203389830508474,0.9316129032258065,0.7786885245901639,0.6779661016949152
20,SVM,imbalanced,14337,0.721121202384184,0.6601941747572816,0.9445277361319341,0.8018867924528302,0.4778761061946903
20,RF,imbalanced,14337,0.6933905770780816,0.5922330097087378,0.9434523809523809,0.7850467289719626,0.4528301886792453
20,SVM,balanced,3804,0.7323974976720973,0.6889952153110048,0.9459459459459459,0.8076923076923077,0.48695652173913045
20,RF,balanced,3804,0.6874309158079076,0.6057692307692307,0.926605504587156,0.7543859649122807,0.46296296296296297
21,SVM,imbalanced,14337,0.7627346519666744,0.7352941176470589,0.9629629629629629,0.700507614213198,0.6521739130434783
21,RF,imbalanced,14337,0.7908180618715503,0.7417840375586855,0.9913294797687862,0.7301587301587301,0.7
21,SVM,balanced,3801,0.7616165914945682,0.7439613526570048,0.9614243323442137,0.6839378238341969,0.6571428571428571
21,RF,balanced,3801,0.7854297367967098,0.7272727272727273,0.9735294117647059,0.7473684210526316,0.6935483870967742
22,SVM,imbalanced,14324,0.7409953852292037,0.6039215686274509,0.952247191011236,0.7345454545454545,0.6732673267326733
22,RF,imbalanced,14324,0.7450654158926961,0.6072874493927125,0.9408602150537635,0.6795366795366795,0.7525773195876289
22,SVM,balanced,3767,0.7275127802770973,0.5645161290322581,0.9436619718309859,0.7226277372262774,0.6792452830188679
22,RF,balanced,3767,0.746948013078372,0.6263345195729537,0.9355742296918768,0.6771653543307087,0.7487179487179487
23,SVM,imbalanced,14365,0.6963617112667909,0.6527777777777778,0.9325337331334332,0.694980694980695,0.5051546391752577
23,RF,imbalanced,14365,0.7277135895544727,0.6614785992217899,0.9323529411764706,0.6533864541832669,0.6636363636363637
23,SVM,balanced,3759,0.7073401999606819,0.6666666666666666,0.9303030303030303,0.6746987951807228,0.5576923076923077
23,RF,balanced,3759,0.7370464363562047,0.6715328467153284,0.9438543247344461,0.6509803921568628,0.6818181818181818
24,SVM,imbalanced,14292,0.7011497642333242,0.5844748858447488,0.9273447820343461,0.6596858638743456,0.6330935251798561
24,RF,imbalanced,14292,0.7424268347159868,0.6120218579234973,0.9445843828715366,0.7368421052631579,0.6762589928057554
24,SVM,balanced,3801,0.7089428454786691,0.591304347826087,0.9226666666666666,0.6739130434782609,0.647887323943662
24,RF,balanced,3801,0.7146640105113344,0.5220883534136547,0.8879668049792531,0.7628865979381443,0.6857142857142857
25,SVM,imbalanced,14317,0.7520582218447945,0.5486725663716814,0.9106881405563689,0.8421052631578947,0.706766917293233
25,RF,imbalanced,14317,0.7688445544287157,0.5906735751295337,0.9434482758620689,0.8315789473684211,0.7096774193548387
25,SVM,balanced,3805,0.7467631581386904,0.5321888412017167,0.8991097922848664,0.8404255319148937,0.7153284671532847
25,RF,balanced,3805,0.7524377883669919,0.5299145299145299,0.9085545722713865,0.8512820512820513,0.72
26,SVM,imbalanced,14259,0.7276029762323566,0.6044776119402985,0.9678953626634959,0.694560669456067,0.6434782608695652
