subject,model,condition,n_stdup_train,macro_f1,f1_DNS,f1_STDUP,f1_UPS,f1_WAK
13,CNN,balanced,3784,0.8893618490068996,0.8543689320388349,0.9804822043628014,0.8711111111111111,0.8514851485148515
14,CNN,imbalanced,14243,0.7503392438267973,0.6416666666666667,0.9420935412026726,0.7550200803212851,0.6625766871165644
14,CNN,balanced,3776,0.7505213449336433,0.6441947565543071,0.9367088607594937,0.7910447761194029,0.6301369863013698
15,CNN,imbalanced,14312,0.8777840449002104,0.8272251308900523,0.9768076398362893,0.8426966292134831,0.864406779661017
15,CNN,balanced,3808,0.8296837950777034,0.7655502392344498,0.9711141678129298,0.8114285714285714,0.7706422018348624
16,CNN,imbalanced,14290,0.8420080326879645,0.7783251231527094,0.92904953145917,0.782608695652174,0.8780487804878049
16,CNN,balanced,3792,0.845896509445604,0.7804878048780488,0.9308510638297872,0.7788461538461539,0.8934010152284264
17,CNN,imbalanced,14301,0.7994058858167905,0.6960352422907489,0.9791666666666666,0.7768595041322314,0.7455621301775148
17,CNN,balanced,3781,0.8038342769522593,0.6854838709677419,0.9500674763832658,0.8144796380090498,0.7653061224489796
18,CNN,imbalanced,14322,0.7156130768124919,0.5434782608695652,0.9723756906077348,0.6972477064220184,0.6493506493506493
18,CNN,balanced,3795,0.7203287375512222,0.5934065934065934,0.9627586206896551,0.6757990867579908,0.6493506493506493
19,CNN,imbalanced,14279,0.836938874243466,0.7837837837837838,0.9535759096612296,0.8326180257510729,0.7777777777777778
19,CNN,balanced,3784,0.8096432706268277,0.7333333333333333,0.9477707006369427,0.8047808764940239,0.7526881720430108
20,CNN,imbalanced,14337,0.7928881147573636,0.6904761904761905,0.9476744186046512,0.8571428571428571,0.6762589928057554
20,CNN,balanced,3804,0.7765516591040491,0.7311827956989247,0.9518248175182482,0.8761904761904762,0.5470085470085471
21,CNN,imbalanced,14337,0.7657667422101773,0.721030042918455,0.953662182361734,0.7902439024390244,0.5981308411214953
21,CNN,balanced,3801,0.7596204716116938,0.7636363636363637,0.9317147192716236,0.8041237113402062,0.5390070921985816
22,CNN,imbalanced,14324,0.7478819304966169,0.6917808219178082,0.9621318373071529,0.6276150627615062,0.71
22,CNN,balanced,3767,0.7520090893837391,0.6917293233082706,0.9690140845070423,0.6403162055335968,0.7069767441860465
23,CNN,imbalanced,14365,0.7372955116789077,0.6502057613168725,0.9439252336448598,0.7159533073929961,0.6390977443609023
23,CNN,balanced,3759,0.7091599999531183,0.6541353383458647,0.9399075500770416,0.635593220338983,0.6070038910505836
24,CNN,imbalanced,14292,0.6763290137110225,0.5242718446601942,0.8901098901098901,0.6739130434782609,0.6170212765957447
