subject,draw,K_per_class,f1_macro
34,4,10,0.86765
34,4,20,0.893082
35,0,0,0.705561
35,0,5,0.705226
35,0,10,0.702875
35,0,20,0.700125
35,1,0,0.715145
35,1,5,0.683785
35,1,10,0.708703
35,1,20,0.706895
35,2,0,0.71006
35,2,5,0.693039
35,2,10,0.705996
35,2,20,0.689865
35,3,0,0.702904
35,3,5,0.65695
35,3,10,0.661932
35,3,20,0.680851
35,4,0,0.706423
35,4,5,0.681787
35,4,10,0.706758
35,4,20,0.697423
36,0,0,0.722719
36,0,5,0.778193
36,0,10,0.800287
36,0,20,0.840819
36,1,0,0.717936
36,1,5,0.732939
36,1,10,0.767972
36,1,20,0.799033
36,2,0,0.742146
36,2,5,0.805156
36,2,10,0.842474
36,2,20,0.842638
36,3,0,0.710656
36,3,5,0.800044
36,3,10,0.824468
36,3,20,0.84605
36,4,0,0.706384
36,4,5,0.774618
36,4,10,0.793563
36,4,20,0.818801
37,0,0,0.772398
37,0,5,0.765603
37,0,10,0.818279
37,0,20,0.850696
37,1,0,0.804992
37,1,5,0.819495
37,1,10,0.83774
37,1,20,0.847544
37,2,0,0.80198
37,2,5,0.791901
37,2,10,0.771655
37,2,20,0.786726
37,3,0,0.78232
37,3,5,0.816812
37,3,10,0.86489
37,3,20,0.789252
37,4,0,0.804575
37,4,5,0.831942
37,4,10,0.831951
37,4,20,0.842289
38,0,0,0.835954
38,0,5,0.846864
38,0,10,0.841554
38,0,20,0.842404
38,1,0,0.832213
38,1,5,0.853701
38,1,10,0.853336
38,1,20,0.860959
38,2,0,0.847686
38,2,5,0.883949
38,2,10,0.86453
38,2,20,0.894459
38,3,0,0.834863
38,3,5,0.898379
38,3,10,0.90829
38,3,20,0.871845
38,4,0,0.843413
38,4,5,0.858708
38,4,10,0.845675
38,4,20,0.884099
39,0,0,0.840716
39,0,5,0.837069
39,0,10,0.798513
39,0,20,0.848822
39,1,0,0.841394
39,1,5,0.881818
39,1,10,0.894672
39,1,20,0.883753
39,2,0,0.835201
39,2,5,0.874506
39,2,10,0.882973
39,2,20,0.856336
39,3,0,0.849762
39,3,5,0.805752
39,3,10,0.810346
39,3,20,0.842901
39,4,0,0.840681
39,4,5,0.909498
39,4,10,0.856871
39,4,20,0.883574
40,0,0,0.781476
40,0,5,0.757865
40,0,10,0.788038
