subject,model,f1_sd,bal_acc_sd,acc_sd,f1_loso,bal_acc_loso,acc_loso,delta_f1,delta_bal_acc,delta_acc
20,SVM,0.789481201547251,0.795765243210842,0.8714524207011686,0.6484884622437158,0.6653805527640101,0.7879799666110183,0.14099273930353518,0.13038469044683187,0.08347245409015025
21,SVM,0.8642866074473745,0.8757586379781513,0.914332784184514,0.7387310513412639,0.7645012145270615,0.8319604612850082,0.12555555610611058,0.1112574234510898,0.0823723228995058
22,SVM,0.8305520500545642,0.8393848295324445,0.8767313019390581,0.6277176958730973,0.6372991545044648,0.724376731301939,0.2028343541814669,0.2020856750279797,0.1523545706371191
23,SVM,0.8833808928980416,0.8921792410666145,0.9105113636363636,0.6844347884526456,0.7153552335094934,0.7471590909090909,0.19894610444539595,0.17682400755712113,0.1633522727272727
24,SVM,0.8917627190191264,0.9011514996810736,0.9326186830015314,0.7100034612643716,0.7621848708287959,0.8131699846860643,0.18175925775475477,0.13896662885227762,0.11944869831546712
25,SVM,0.7909998865055046,0.8203806611517647,0.8668831168831169,0.6444066174035437,0.692302069117859,0.7094155844155844,0.1465932691019609,0.1280785920339057,0.15746753246753253
26,SVM,0.8380527124935234,0.8449265741888587,0.8973384030418251,0.6326016040801323,0.6891061322100018,0.6831432192648923,0.2054511084133911,0.15582044197885692,0.2141951837769328
27,SVM,0.8835754278943647,0.8822627477426849,0.9337175792507204,0.824314155210103,0.8159425060346719,0.899135446685879,0.059261272684261734,0.06632024170801298,0.03458213256484144
28,SVM,0.8666322632465454,0.8702018716705401,0.9128571428571428,0.6820636706359846,0.6915085838878268,0.7957142857142857,0.1845685926105608,0.17869328778271332,0.1171428571428571
29,SVM,0.8455281586153529,0.8498664202598313,0.8967391304347826,0.7665294779906677,0.7674077116796625,0.8519021739130435,0.07899868062468518,0.0824587085801688,0.044836956521739135
30,SVM,0.8931440230127693,0.8925814160776566,0.9403669724770642,0.6709890717353404,0.6828196865790851,0.8333333333333334,0.2221549512774289,0.20976172949857153,0.10703363914373087
31,SVM,0.7540863275194519,0.7742533573645913,0.8535620052770448,0.6370231826871574,0.6948481790223062,0.7823218997361477,0.11706314483229452,0.07940517834228511,0.0712401055408971
32,SVM,0.8602077102378709,0.8641930304533831,0.912536443148688,0.7590755160054381,0.7594821480616631,0.8454810495626822,0.1011321942324328,0.10471088239172,0.06705539358600576
33,SVM,0.8749181671939148,0.8785748854895861,0.9277456647398844,0.7290783645435871,0.7372772448362285,0.8251445086705202,0.1458398026503277,0.1412976406533576,0.10260115606936415
34,SVM,0.8759068904080247,0.8979849776449041,0.9256329113924052,0.7336709179663732,0.7752033303706097,0.8449367088607594,0.14223597244165154,0.12278164727429441,0.08069620253164578
35,SVM,0.7983522788670732,0.8108135744862862,0.8556338028169014,0.684066675467838,0.718641860224595,0.7723004694835681,0.11428560339923521,0.09217171426169124,0.08333333333333326
36,SVM,0.860136263725583,0.862454581979527,0.9073569482288828,0.674589825379299,0.7068347570135904,0.7929155313351499,0.18554643834628404,0.15561982496593652,0.11444141689373288
37,SVM,0.8732441257049159,0.8759665113567159,0.9264705882352942,0.7574030860288699,0.7744693965736362,0.8544117647058823,0.11584103967604609,0.10149711478307966,0.07205882352941184
38,SVM,0.906327079893387,0.9100044454516928,0.9463487332339792,0.7015993166348302,0.7233530037306928,0.8137108792846498,0.2047277632585568,0.186651441721,0.13263785394932937
39,SVM,0.8700718965168097,0.8750919913419912,0.937950937950938,0.6981120277057993,0.7191215728715729,0.8455988455988456,0.17195986881101044,0.15597041847041837,0.09235209235209241
40,SVM,0.8813544705714356,0.8827095275574262,0.9382716049382716,0.7206023939321565,0.7384383239676073,0.8410493827160493,0.16075207663927904,0.14427120358981882,0.09722222222222221
