buffer,k,variant,subject,f1,crit_err,n_scored
25,5,probavg,29,0.8000278667682569,0.0,711
25,5,probavg,30,0.962495577211705,0.011764705882352941,629
25,5,probavg,31,0.8548550493828386,0.0,733
25,5,probavg,32,0.9547248923431516,0.0,661
25,5,probavg,33,0.8962477620236269,0.0,667
25,5,probavg,34,0.9219750058580021,0.0,607
25,5,probavg,35,0.8754762347733196,0.06486486486486487,827
25,5,probavg,36,0.8463218436148291,0.011363636363636364,709
25,5,probavg,37,0.7531631312371496,0.0,655
25,5,probavg,38,0.9442693208322961,0.0,646
25,5,probavg,39,0.8984882874964676,0.0,668
25,5,probavg,40,0.8077983760674337,0.0,623
25,7,vote,1,0.7718909426373355,0.03508771929824561,665
25,7,vote,2,0.9722250326997802,0.0,495
25,7,vote,3,0.9347227500518003,0.0,569
25,7,vote,4,0.9229934370320512,0.0,531
25,7,vote,5,0.8843824810248815,0.033783783783783786,683
25,7,vote,6,0.9400848172054985,0.011363636363636364,558
25,7,vote,7,0.8421112921568837,0.0,575
25,7,vote,8,0.9715400976888726,0.0,549
25,7,vote,9,0.9413296459868129,0.0,566
25,7,vote,10,0.7926944319879818,0.0,484
25,7,vote,11,0.9919187635472623,0.0,493
25,7,vote,12,0.9849478459190689,0.0,482
25,7,vote,13,0.9492980362454047,0.009523809523809525,727
25,7,vote,14,0.923462526749129,0.0390625,750
25,7,vote,15,0.9849003977052758,0.0,585
25,7,vote,16,0.9675174882061295,0.0,656
25,7,vote,17,0.8936676252945538,0.0,678
25,7,vote,18,0.8683667513677122,0.075,615
25,7,vote,19,0.9754263294257559,0.009900990099009901,691
25,7,vote,20,0.8734101757251287,0.0,574
25,7,vote,21,0.9728840170433319,0.0,582
25,7,vote,22,0.9479425837809761,0.0,697
25,7,vote,23,0.8693943718535764,0.007246376811594203,679
