backbone,arm,subject,channel,threshold,censored
resnet,chandrop,18,1,0.7635825962170554,False
resnet,chandrop,18,2,0.4544866308860594,False
resnet,chandrop,18,3,0.901110574960375,False
resnet,chandrop,18,4,0.8586166604787875,False
resnet,chandrop,18,5,0.6107469246230603,False
resnet,chandrop,18,6,0.5546263236077187,False
resnet,chandrop,18,7,0.839496922159938,False
resnet,chandrop,18,8,0.021065314273298552,False
resnet,chandrop,19,0,0.2394532896434766,False
resnet,chandrop,19,1,0.04149020530878808,False
resnet,chandrop,19,2,,True
resnet,chandrop,19,3,0.5982029972899917,False
resnet,chandrop,19,4,,True
resnet,chandrop,19,5,,True
resnet,chandrop,19,6,,True
resnet,chandrop,19,7,0.11105983883939036,False
resnet,chandrop,19,8,0.5722923211529043,False
resnet,chandrop,20,0,0.2051931812747598,False
resnet,chandrop,20,1,0.5576425468834677,False
resnet,chandrop,20,2,0.4393906744426104,False
resnet,chandrop,20,3,0.23627531835101984,False
resnet,chandrop,20,4,,True
resnet,chandrop,20,5,0.058870383890181954,False
resnet,chandrop,20,6,0.7153569599107865,False
resnet,chandrop,20,7,0.7218645257731741,False
resnet,chandrop,20,8,0.46893630535126113,False
resnet,chandrop,21,0,0.7434596427306901,False
resnet,chandrop,21,1,,True
resnet,chandrop,21,2,,True
resnet,chandrop,21,3,0.3508641410595408,False
resnet,chandrop,21,4,0.5663599773306496,False
resnet,chandrop,21,5,,True
resnet,chandrop,21,6,,True
resnet,chandrop,21,7,0.36643910071411734,False
resnet,chandrop,21,8,0.5981467058902847,False
resnet,chandrop,22,0,0.8046676831932812,False
resnet,chandrop,22,1,,True
resnet,chandrop,22,2,0.456224529513088,False
resnet,chandrop,22,3,0.4602923107904125,False
resnet,chandrop,22,4,,True
resnet,chandrop,22,5,0.6498400445632576,False
resnet,chandrop,22,6,0.7089235285923451,False
resnet,chandrop,22,7,0.8259189245417125,False
resnet,chandrop,22,8,0.32556669626542145,False
resnet,chandrop,23,0,0.7014511560771144,False
resnet,chandrop,23,1,,True
resnet,chandrop,23,2,,True
resnet,chandrop,23,3,,True
resnet,chandrop,23,4,0.6384218993198705,False
resnet,chandrop,23,5,0.5025690718108443,False
resnet,chandrop,23,6,,True
resnet,chandrop,23,7,0.5710238139408477,False
resnet,chandrop,23,8,,True
resnet,chandrop,24,0,0.6411411250610272,False
resnet,chandrop,24,1,0.5627560036783446,False
resnet,chandrop,24,2,,True
resnet,chandrop,24,3,,True
resnet,chandrop,24,4,0.6269417751597416,False
resnet,chandrop,24,5,0.8996443578910324,False
resnet,chandrop,24,6,,True
resnet,chandrop,24,7,0.41759519499941355,False
resnet,chandrop,24,8,,True
resnet,chandrop,25,0,,True
resnet,chandrop,25,1,,True
resnet,chandrop,25,2,,True
resnet,chandrop,25,3,0.0626084566177614,False
resnet,chandrop,25,4,0.5518821242697968,False
resnet,chandrop,25,5,,True
resnet,chandrop,25,6,,True
resnet,chandrop,25,7,0.2555998293686658,False
resnet,chandrop,25,8,,True
resnet,chandrop,26,0,0.1551495093721298,False
resnet,chandrop,26,1,,True
resnet,chandrop,26,2,0.16637774306649106,False
resnet,chandrop,26,3,0.248433751680105,False
resnet,chandrop,26,4,0.5933786982197248,False
resnet,chandrop,26,5,0.8868319156720168,False
resnet,chandrop,26,6,0.042446855697610336,False
resnet,chandrop,26,7,0.3027142843343515,False
resnet,chandrop,26,8,0.3481289455475771,False
resnet,chandrop,27,0,,True
resnet,chandrop,27,1,0.761686873658798,False
resnet,chandrop,27,2,0.6356064571928666,False
resnet,chandrop,27,3,0.02721687797608785,False
resnet,chandrop,27,4,0.6060391258915792,False
resnet,chandrop,27,5,,True
resnet,chandrop,27,6,,True
resnet,chandrop,27,7,0.1853904354950979,False
resnet,chandrop,27,8,,True
resnet,chandrop,28,0,,True
resnet,chandrop,28,1,0.4279216839048004,False
resnet,chandrop,28,2,,True
resnet,chandrop,28,3,0.009666192307583032,False
resnet,chandrop,28,4,0.591497817694234,False
resnet,chandrop,28,5,0.9776433660824474,False
