SVM+RF+CNN [hard],SVM+RF+CNN [soft],SVM+RF+CNN [weighted_soft],SVM+RF+CNN [stacking],SVM+RF+RESNET_SE [hard],SVM+RF+RESNET_SE [soft],SVM+RF+RESNET_SE [weighted_soft],SVM+RF+RESNET_SE [stacking],SVM+RF+CNN+RESNET_SE [hard],SVM+RF+CNN+RESNET_SE [soft],SVM+RF+CNN+RESNET_SE [weighted_soft],SVM+RF+CNN+RESNET_SE [stacking],SVM+RF [hard],SVM+RF [soft],SVM+RF [weighted_soft],SVM+RF [stacking],SVM+RESNET_SE [hard],SVM+RESNET_SE [soft],SVM+RESNET_SE [weighted_soft],SVM+RESNET_SE [stacking],RF+RESNET_SE [hard],RF+RESNET_SE [soft],RF+RESNET_SE [weighted_soft],RF+RESNET_SE [stacking]
0.7992865287119171,0.8029034972883888,0.7993102982151308,0.8052939701094011,0.8225562551610239,0.8377035546765479,0.8383244618219227,0.8730811578557978,0.8216926964449903,0.8360126659359396,0.8401849549290145,0.8637262040935766,0.7784542053178383,0.7900773402031877,0.7900773402031877,0.7870461971349576,0.8657640857497411,0.8542498274672188,0.8542498274672188,0.864341708710614,0.8657640857497411,0.8718139355469724,0.8693271162434909,0.8714283088794624
0.7581414436225022,0.7676117155839871,0.7676117155839871,0.7620084527263637,0.8033931351517607,0.8115911233476145,0.8175591045194952,0.827509061437377,0.806783874584091,0.8086214883305869,0.8101886837500648,0.836858969990038,0.7298605455735194,0.7536316694163713,0.7536316694163713,0.7617461194214923,0.8229863982628072,0.827780783198464,0.8316124833959107,0.8367736079754149,0.8229863982628072,0.8441871659545619,0.8456786427719711,0.8417248995744474
0.7518835590803601,0.7716746114212851,0.7716746114212851,0.7745216739275769,0.7805483158321598,0.8153779063879775,0.8214331579317656,0.8205144069143021,0.7983191232268185,0.8146520374922797,0.8195790948703703,0.8225585717115669,0.6764175957441693,0.7136628776187163,0.7136628776187163,0.734879143869442,0.8105694274671286,0.829120954789786,0.8298968067849777,0.8172251903146679,0.8105694274671286,0.8199619715496607,0.8192600997339408,0.8118897823729938
0.7319573703114076,0.7653337607793709,0.7670401293237862,0.765024462574977,0.7976303527619426,0.8167141999128427,0.8222204231590965,0.8244530897508271,0.7813690845936386,0.8127361249868545,0.819478115419458,0.82148837133501,0.6852724367396084,0.7196495209247232,0.7196495209247232,0.7305853530586247,0.786832906815587,0.8111822915115783,0.81483639899751,0.8189770710234725,0.786832906815587,0.8149846606143883,0.8121251937200997,0.8176296573675341
0.7801779146515119,0.7728051328345797,0.7749232654426648,0.7910244619530287,0.8154673709521076,0.8881533916332607,0.8895339092239425,0.9068837157932771,0.7989779821905714,0.8589165296008348,0.8619074174875633,0.9082832342362182,0.7680174319261338,0.7832713716252895,0.7832713716252895,0.7758407439855821,0.9082572012001204,0.907614249091239,0.915357006432518,0.9096921051526508,0.9082572012001204,0.9293566654329685,0.9278090621186182,0.928913408719668
0.7310010896259578,0.7216278555898279,0.7247246436238429,0.7175104805779571,0.7572930418973625,0.7852715961875986,0.7864873754006669,0.8068972835196795,0.7622774624875239,0.7596040620846192,0.7636843820445796,0.8124177179649015,0.7363611427329986,0.7385596117436107,0.7385596117436107,0.7353754580622698,0.8003377829096816,0.7843561566138814,0.7884063637590413,0.8083419606141384,0.8003377829096816,0.8001647565248093,0.8015430057496215,0.8069396837914145
0.8471052774087386,0.8520755960314443,0.8520755960314443,0.847260750651666,0.8711288142101201,0.9040714602124242,0.9068269839731452,0.9137863614754836,0.8659181496261299,0.900346635037903,0.9078715005563731,0.9137863614754836,0.8291525086155735,0.8367608698248525,0.8367608698248525,0.8291354453672104,0.9025924069484389,0.9278141588892024,0.9297321735847297,0.9146460682950024,0.9025924069484389,0.9144399316172136,0.9117954287352688,0.9051110575974641
0.8101006295560105,0.8224033573886481,0.8224033573886481,0.8303138495153125,0.8330712242016948,0.872531640585146,0.874563503637983,0.8798453609373287,0.8307940396823527,0.8544121525749355,0.8576850305320769,0.8777848943359663,0.8087149984189221,0.7964967799244947,0.7964967799244947,0.8077695043783886,0.8036751585075397,0.8890444219704222,0.8849470100397324,0.8972837246832661,0.8036751585075397,0.8377483178211536,0.8348665843903196,0.8350891697174281
0.7721422185223856,0.7929939752588273,0.7929939752588273,0.7921061403433656,0.7977541878545553,0.8483289984455369,0.8462507674483579,0.8533481389957704,0.7847906754620255,0.8337699902634825,0.8332088075412039,0.8580860972130904,0.7889011178336834,0.7896588949526827,0.7896588949526827,0.7854301289185546,0.8679324789502041,0.8537420384866312,0.8551968056628207,0.8534321449284812,0.8679324789502041,0.847388452203537,0.847388452203537,0.8486190846642996
0.824023344663657,0.8184816150842873,0.8184816150842873,0.8325665297584421,0.8211802713919856,0.8492628630399528,0.8508336538075575,0.8650644689100933,0.8428717096368754,0.8700255821523109,0.8719237337784953,0.8622229363873631,0.8003173741104742,0.8092683379961532,0.8092683379961532,0.8171359433065422,0.8243258732107972,0.8646594863526469,0.8671937901827671,0.855078457336687,0.8243258732107972,0.8461988803053213,0.8461988803053213,0.8498129759715765
