subject,model,mode,f1_incl,f1_excl,buf_n
2,RESNET_SE,single_UPS,0.524519,0.439738,89
2,soft,single_UPS,0.489734,0.419483,89
3,SVM,single_UPS,0.34147,0.287539,69
3,SVM_PROBA,single_UPS,0.349824,0.257686,69
3,RESNET_SE,single_UPS,0.620646,0.5329,69
3,soft,single_UPS,0.506084,0.419157,69
4,SVM,single_UPS,0.348562,0.321786,100
4,SVM_PROBA,single_UPS,0.410814,0.329173,100
4,RESNET_SE,single_UPS,0.392283,0.334485,100
4,soft,single_UPS,0.479412,0.341614,100
5,SVM,single_UPS,0.579903,0.627756,100
5,SVM_PROBA,single_UPS,0.551741,0.586074,100
5,RESNET_SE,single_UPS,0.624212,0.699486,100
5,soft,single_UPS,0.598129,0.657048,100
6,SVM,single_UPS,0.539968,0.564273,100
6,SVM_PROBA,single_UPS,0.500865,0.508678,100
6,RESNET_SE,single_UPS,0.598381,0.6602,100
6,soft,single_UPS,0.57583,0.617119,100
7,SVM,single_UPS,0.402992,0.399498,100
7,SVM_PROBA,single_UPS,0.448147,0.418171,100
7,RESNET_SE,single_UPS,0.205608,0.149802,100
7,soft,single_UPS,0.366458,0.325392,100
8,SVM,single_UPS,0.521595,0.495976,100
8,SVM_PROBA,single_UPS,0.497918,0.467983,100
8,RESNET_SE,single_UPS,0.562922,0.602184,100
8,soft,single_UPS,0.572599,0.589199,100
9,SVM,single_UPS,0.472211,0.44307,100
9,SVM_PROBA,single_UPS,0.417038,0.367225,100
9,RESNET_SE,single_UPS,0.517224,0.523837,100
9,soft,single_UPS,0.495527,0.521575,100
10,SVM,single_UPS,0.310406,0.314824,91
10,SVM_PROBA,single_UPS,0.406162,0.357695,91
10,RESNET_SE,single_UPS,0.555352,0.467559,91
10,soft,single_UPS,0.488918,0.419793,91
11,SVM,single_UPS,0.54694,0.480499,89
11,SVM_PROBA,single_UPS,0.492181,0.424407,89
11,RESNET_SE,single_UPS,0.582479,0.498259,89
11,soft,single_UPS,0.649399,0.584712,89
12,SVM,single_UPS,0.412038,0.311118,88
12,SVM_PROBA,single_UPS,0.375982,0.355407,88
12,RESNET_SE,single_UPS,0.661843,0.571178,88
12,soft,single_UPS,0.621625,0.705972,88
13,SVM,single_UPS,0.578145,0.670251,100
13,SVM_PROBA,single_UPS,0.560782,0.651159,100
13,RESNET_SE,single_UPS,0.631323,0.706592,100
13,soft,single_UPS,0.602817,0.727287,100
14,SVM,single_UPS,0.540683,0.553976,100
14,SVM_PROBA,single_UPS,0.500972,0.508338,100
14,RESNET_SE,single_UPS,0.613857,0.605928,100
14,soft,single_UPS,0.586743,0.590382,100
15,SVM,single_UPS,0.548824,0.518255,93
15,SVM_PROBA,single_UPS,0.574064,0.503622,93
15,RESNET_SE,single_UPS,0.646875,0.626521,93
15,soft,single_UPS,0.640926,0.595208,93
16,SVM,single_UPS,0.493771,0.469541,100
16,SVM_PROBA,single_UPS,0.44735,0.426318,100
16,RESNET_SE,single_UPS,0.620061,0.585816,100
16,soft,single_UPS,0.533481,0.492181,100
17,SVM,single_UPS,0.505805,0.481681,100
17,SVM_PROBA,single_UPS,0.524902,0.497252,100
17,RESNET_SE,single_UPS,0.555318,0.59538,100
17,soft,single_UPS,0.552281,0.56821,100
18,SVM,single_UPS,0.458266,0.449608,100
18,SVM_PROBA,single_UPS,0.461154,0.519051,100
18,RESNET_SE,single_UPS,0.615882,0.620731,100
18,soft,single_UPS,0.543033,0.584583,100
19,SVM,single_UPS,0.421045,0.390491,100
19,SVM_PROBA,single_UPS,0.460468,0.44783,100
19,RESNET_SE,single_UPS,0.637766,0.666547,100
19,soft,single_UPS,0.583886,0.59161,100
20,SVM,single_UPS,0.491695,0.416985,95
20,SVM_PROBA,single_UPS,0.482464,0.370691,95
20,RESNET_SE,single_UPS,0.494284,0.412846,95
20,soft,single_UPS,0.545158,0.449422,95
21,SVM,single_UPS,0.620442,0.518451,97
21,SVM_PROBA,single_UPS,0.560009,0.454826,97
21,RESNET_SE,single_UPS,0.676734,0.610719,97
21,soft,single_UPS,0.683278,0.579456,97
22,SVM,single_UPS,0.536284,0.571583,100
22,SVM_PROBA,single_UPS,0.508916,0.519539,100
22,RESNET_SE,single_UPS,0.660028,0.716514,100
22,soft,single_UPS,0.630689,0.682214,100
23,SVM,single_UPS,0.426804,0.449867,100
23,SVM_PROBA,single_UPS,0.427091,0.467321,100
23,RESNET_SE,single_UPS,0.472315,0.524243,100
23,soft,single_UPS,0.518429,0.573781,100
24,SVM,single_UPS,0.420065,0.416138,100
24,SVM_PROBA,single_UPS,0.405237,0.411383,100
24,RESNET_SE,single_UPS,0.513863,0.565938,100
24,soft,single_UPS,0.478799,0.519243,100
25,SVM,single_UPS,0.399275,0.332834,100
25,SVM_PROBA,single_UPS,0.403395,0.307917,100
25,RESNET_SE,single_UPS,0.640717,0.557941,100
25,soft,single_UPS,0.520779,0.435196,100
26,SVM,single_UPS,0.439815,0.451879,100
26,SVM_PROBA,single_UPS,0.422332,0.46406,100
26,RESNET_SE,single_UPS,0.555175,0.628204,100
26,soft,single_UPS,0.504632,0.56109,100
27,SVM,single_UPS,0.475252,0.420428,98
27,SVM_PROBA,single_UPS,0.4887,0.373384,98
27,RESNET_SE,single_UPS,0.645094,0.569045,98
27,soft,single_UPS,0.606199,0.498722,98
28,SVM,single_UPS,0.439066,0.400766,100
28,SVM_PROBA,single_UPS,0.492936,0.427975,100
28,RESNET_SE,single_UPS,0.532202,0.497546,100
28,soft,single_UPS,0.555986,0.543685,100
29,SVM,single_UPS,0.372479,0.347424,100
29,SVM_PROBA,single_UPS,0.404706,0.379016,100
29,RESNET_SE,single_UPS,0.574776,0.570427,100
29,soft,single_UPS,0.482402,0.447315,100
30,SVM,single_UPS,0.416723,0.420169,98
30,SVM_PROBA,single_UPS,0.491249,0.425288,98
30,RESNET_SE,single_UPS,0.661587,0.580262,98
30,soft,single_UPS,0.606009,0.538877,98
31,SVM,single_UPS,0.482868,0.514351,100
31,SVM_PROBA,single_UPS,0.435567,0.463819,100
31,RESNET_SE,single_UPS,0.525613,0.513625,100
31,soft,single_UPS,0.592623,0.623436,100
32,SVM,single_UPS,0.403739,0.379778,100
32,SVM_PROBA,single_UPS,0.384162,0.365449,100
32,RESNET_SE,single_UPS,0.300779,0.325818,100
32,soft,single_UPS,0.369156,0.396554,100
33,SVM,single_UPS,0.349664,0.340108,100
33,SVM_PROBA,single_UPS,0.341157,0.315503,100
33,RESNET_SE,single_UPS,0.619861,0.698828,100
33,soft,single_UPS,0.517898,0.524534,100
34,SVM,single_UPS,0.478508,0.413051,100
34,SVM_PROBA,single_UPS,0.441904,0.357921,100
34,RESNET_SE,single_UPS,0.589879,0.609821,100
34,soft,single_UPS,0.550739,0.495735,100
35,SVM,single_UPS,0.513133,0.56449,100
35,SVM_PROBA,single_UPS,0.46139,0.510545,100
35,RESNET_SE,single_UPS,0.531855,0.57589,100
35,soft,single_UPS,0.501143,0.580184,100
36,SVM,single_UPS,0.36289,0.402707,100
36,SVM_PROBA,single_UPS,0.350958,0.400712,100
36,RESNET_SE,single_UPS,0.231419,0.267978,100
36,soft,single_UPS,0.212145,0.230005,100
37,SVM,single_UPS,0.162778,0.186748,98
37,SVM_PROBA,single_UPS,0.156925,0.168275,98
37,RESNET_SE,single_UPS,0.242878,0.202203,98
37,soft,single_UPS,0.150022,0.12832,98
38,SVM,single_UPS,0.371241,0.342649,92
38,SVM_PROBA,single_UPS,0.428561,0.361949,92
38,RESNET_SE,single_UPS,0.503834,0.469184,92
38,soft,single_UPS,0.48966,0.458322,92
39,SVM,single_UPS,0.439722,0.458847,99
39,SVM_PROBA,single_UPS,0.471951,0.469456,99
39,RESNET_SE,single_UPS,0.671456,0.622669,99
39,soft,single_UPS,0.600396,0.596132,99
40,SVM,single_UPS,0.354819,0.348405,100
40,SVM_PROBA,single_UPS,0.357278,0.323973,100
40,RESNET_SE,single_UPS,0.566879,0.495493,100
40,soft,single_UPS,0.456585,0.405147,100
1,SVM,single_DNS,0.440968,0.379979,100
1,SVM_PROBA,single_DNS,0.453868,0.397313,100
1,RESNET_SE,single_DNS,0.547831,0.474632,100
1,soft,single_DNS,0.5914,0.526277,100
2,SVM,single_DNS,0.382802,0.304558,77
