subject,model,acc,bal_acc,f1,train_time_s,latency_ms
21,SVM,0.914332784184514,0.8757586379781513,0.8642866074473745,,
22,SVM,0.8767313019390581,0.8393848295324445,0.8305520500545642,,
23,SVM,0.9105113636363636,0.8921792410666145,0.8833808928980416,,
24,SVM,0.9326186830015314,0.9011514996810736,0.8917627190191264,,
25,SVM,0.8668831168831169,0.8203806611517647,0.7909998865055046,,
26,SVM,0.8973384030418251,0.8449265741888587,0.8380527124935234,,
27,SVM,0.9337175792507204,0.8822627477426849,0.8835754278943647,,
28,SVM,0.9128571428571428,0.8702018716705401,0.8666322632465454,,
29,SVM,0.8967391304347826,0.8498664202598313,0.8455281586153529,,
30,SVM,0.9403669724770642,0.8925814160776566,0.8931440230127693,,
31,SVM,0.8535620052770448,0.7742533573645913,0.7540863275194519,,
32,SVM,0.912536443148688,0.8641930304533831,0.8602077102378709,,
33,SVM,0.9277456647398844,0.8785748854895861,0.8749181671939148,,
34,SVM,0.9256329113924052,0.8979849776449041,0.8759068904080247,,
35,SVM,0.8556338028169014,0.8108135744862862,0.7983522788670732,,
36,SVM,0.9073569482288828,0.862454581979527,0.860136263725583,,
37,SVM,0.9264705882352942,0.8759665113567159,0.8732441257049159,,
38,SVM,0.9463487332339792,0.9100044454516928,0.906327079893387,,
39,SVM,0.937950937950938,0.8750919913419912,0.8700718965168097,,
40,SVM,0.9382716049382716,0.8827095275574262,0.8813544705714356,,
