subject,model,f1_sd,f1_loso,delta_f1,bal_acc_sd,bal_acc_loso,delta_bal_acc
37,SVM,0.8715715762783898,0.7961891858803415,0.0753823903980482,0.8720591874083781,0.8034622084307261,0.0685969789776519
38,SVM,0.9028473836429493,0.8108652090258592,0.09198217461709,0.8948663749520588,0.8203058354543659,0.0745605394976929
39,SVM,0.8552390267811721,0.7478608553780732,0.1073781714030989,0.8541089466089467,0.7684758297258298,0.0856331168831168
40,SVM,0.8682313695808825,0.7466845799121155,0.121546789668767,0.8691537206192663,0.7609739320627541,0.1081797885565122
1,ResNet-SE,0.6624936912373209,0.579441601980449,0.08305208925687191,0.6780840991367307,0.5864948917233264,0.09158920741340437
2,ResNet-SE,0.6894258192974207,0.7927440191979892,-0.10331819990056845,0.6581759049773757,0.794349018807492,-0.13617311383011632
3,ResNet-SE,0.6557079396645877,0.8582032678906196,-0.2024953282260319,0.6422881466359728,0.8791719176521469,-0.23688377101617408
4,ResNet-SE,0.7441605564933016,0.7117829680891965,0.032377588404105095,0.7797916666666665,0.7413501239364443,0.03844154273022227
5,ResNet-SE,0.5778604324656003,0.5388902763746101,0.03897015609099019,0.5741476442727629,0.562315253049646,0.011832391223116856
6,ResNet-SE,0.4504658743044556,0.7108976915083952,-0.2604318172039396,0.4922852269562796,0.7214787668665934,-0.22919353991031383
7,ResNet-SE,0.5524390562961077,0.7315856307361158,-0.17914657444000814,0.5532062864671561,0.7401077265820282,-0.18690144011487209
8,ResNet-SE,0.5675903866578791,0.7809758776232754,-0.21338549096539627,0.5512870915347696,0.798493560702863,-0.2472064691680934
9,ResNet-SE,0.6422960892167154,0.75246903656222,-0.11017294734550453,0.6377130407718643,0.7670837343094987,-0.12937069353763442
10,ResNet-SE,0.4665434091698093,0.7582271569017491,-0.29168374773193984,0.4738280834662413,0.7663832877648667,-0.29255520429862547
11,ResNet-SE,0.5672711912154651,0.8816232446554344,-0.3143520534399693,0.5649155773420479,0.8999347645084591,-0.3350191871664112
12,ResNet-SE,0.719358028206087,0.829917304917305,-0.11055927671121801,0.7103345568689996,0.8644168331668332,-0.15408227629783355
13,ResNet-SE,0.6769415780184344,0.9167079539274916,-0.23976637590905725,0.6930082191867731,0.9234993892057825,-0.23049117001900932
14,ResNet-SE,0.3137620613073753,0.8652099340802469,-0.5514478727728717,0.3411172161172161,0.863624602689782,-0.5225073865725659
15,ResNet-SE,0.5045829543626758,0.9044870791858745,-0.3999041248231987,0.4873688510491916,0.904444801805116,-0.4170759507559244
16,ResNet-SE,0.597980151006494,0.8534021121527048,-0.25542196114621074,0.5623611573765638,0.8857024919524921,-0.3233413345759283
17,ResNet-SE,0.6085616504464012,0.7945146958304852,-0.18595304538408397,0.5954101731601731,0.7934220251293422,-0.19801185196916915
18,ResNet-SE,0.6740585878177315,0.7659786083724048,-0.0919200205546733,0.6768962540391831,0.7664218775410636,-0.08952562350188054
19,ResNet-SE,0.5942259594974192,0.83249306885215,-0.23826710935473083,0.5860293015610578,0.8510966999114254,-0.26506739835036763
20,ResNet-SE,0.541452026579363,0.8140244307399431,-0.27257240416058015,0.5799425033171164,0.831202373876711,-0.25125987055959464
21,ResNet-SE,0.4963354251214291,0.7983920598375354,-0.3020566347161063,0.5376720647773279,0.7998539547303689,-0.26218188995304104
22,ResNet-SE,0.4607689604863097,0.7409765162277618,-0.2802075557414521,0.4663249553579168,0.7590777599089509,-0.2927528045510341
23,ResNet-SE,0.5219996269157005,0.8168451840935625,-0.2948455571778621,0.5419917610117247,0.8197203898990901,-0.2777286288873654
24,ResNet-SE,0.8322886699823263,0.6398101825796646,0.1924784874026617,0.8121127423301336,0.6969553151549399,0.11515742717519373
25,ResNet-SE,0.4782521928836577,0.7593427331584528,-0.2810905402747951,0.4614415045297398,0.8286833795404498,-0.36724187501071
